Indirizzo Completo,A-Codice fiscale,A-Denominazione,First A-Sede/U.L.,Average of Lat,Average of Long
"VIA MAZZINI 56, 33170, PORDENONE, PN",04801140262,PMITA S.R.L.,UL-1,45.95739,12.655939
"VIA MAZZINI 57, 33170, PORDENONE, PN",01794000933,PUNTO L. & G. S.R.L.S.,SEDE,45.957027,12.65549
"VIA MAZZINI 59, 34077, RONCHI DEI LEGIONARI, GO",01112590318,EURO COSTRUZIONI S.R.L.,SEDE,45.826235,13.498107
"VIA MAZZINI 6, 33100, UDINE, UD",02497760302,HAUS3 S.R.L.,SEDE,46.066297,13.232368
"VIA MAZZINI 6/8, 33082, AZZANO DECIMO, PN",97103880585,POSTE ITALIANE - SOCIETA  PER AZIONI,UL-84,45.893136,12.67342
"VIA MAZZINI 6/C, 34170, GORIZIA, GO",01196260317,FFEVENTS & MANAGEMENTS S.R.L.S.,SEDE,45.94232,13.62293
"VIA MAZZINI 60, 33097, SPILIMBERGO, PN",03884310248,BUY BACK SRL,UL-3,46.108781,12.899668
"VIA MAZZINI 60/A, 33170, PORDENONE, PN",01723930937,R.Z. S.R.L.,SEDE,45.957297,12.655767
"VIA MAZZINI 64A, 33170, PORDENONE, PN",01279350936,NUOVA PORDENONESE BEVANDE S.R.L.,UL-5,45.957233,12.655645
"VIA MAZZINI 66/68, 33170, PORDENONE, PN",04332560244,MIX MARKT VENETO S.R.L.,UL-1,45.957203,12.655458
"VIA MAZZINI 7, 33100, UDINE, UD",02526900309,LYF S.R.L.,SEDE,46.066465,13.232235
"VIA MAZZINI 7, 33170, PORDENONE, PN",06707270960,ALBA LEASING S.P.A.,UL-1,45.958224,12.657929
"VIA MAZZINI 7, 34121, TRIESTE, TS",01369030935,CREDIT AGRICOLE FRIULADRIA - SOCIETA  PER AZIONI,UL-6,45.65143,13.770395
"VIA MAZZINI 71, 33080, FIUME VENETO, PN",01833590936,Y & S S.R.L.,UL-1,45.927436,12.73219
"VIA MAZZINI 73, 33080, FIUME VENETO, PN",01833590936,ADIMO S.R.L.,SEDE,45.927436,12.73219
"VIA MAZZINI 73, 33084, CORDENONS, PN",01793290931,TUTTOPIZZA S.R.L.,SEDE,45.985294,12.703596
"VIA MAZZINI 77/1, 33084, CORDENONS, PN",01628150938,WIKOM SRL,SEDE,45.985035,12.703561
"VIA MAZZINI 8- I.1/2, 33061, RIVIGNANO TEOR, UD",03012110304,RISOLUZIONI SRL,SEDE,45.863169,13.049833
"VIA MAZZINI 8, 33057, PALMANOVA, UD",01167240264,GERI MASSIMO S.R.L.,UL-1,45.908142,13.294777
"VIA MAZZINI 80, 33016, PONTEBBA, UD",01058530328,CONFARTIGIANATO SERVIZI FRIULI VENEZIA GIULIA S.R.L.,UL-14,46.507266,13.308199
"VIA MAZZINI 81, 33084, CORDENONS, PN",01189020397,INDACO S.R.L.,SEDE,45.984709,12.703462
"VIA MAZZINI 81/B, 33080, FIUME VENETO, PN",02790130211,DVGW CERT ITALIA SRL,UL-1,45.927436,12.73219
"VIA MAZZINI 82, 33170, PORDENONE, PN",06473711007,MERCITALIA RAIL S.R.L.,UL-2,45.957116,12.655292
"VIA MAZZINI 9, 33043, CIVIDALE DEL FRIULI, UD",02621450283,D.M.O.  -  DETTAGLIO MODERNO ORGANIZZATO S.P.A.,UL-14,46.093631,13.430587
"VIA MAZZINI 9, 34121, TRIESTE, TS",01271200329,FA.MA - SOCIETA  A RESPONSABILITA  LIMITATA,SEDE,45.651337,13.770787
"VIA MAZZINI 9, 34125, TRIESTE, TS",00847710324,AMMINISTRAZIONE IMMOBILIARE JULIA - S.R.L.,SEDE,45.65175,13.781603
"VIA MAZZINI GIUSEPPE 82, 33170, PORDENONE, PN",03107661203,EDICOLE DELLA STAZIONE S.P.A.,UL-1,45.958182,12.657349
"VIA MAZZINI SN, 33050, RUDA, UD",02548140306,TECNOCONTROL S.R.L.,SEDE,45.8383,13.401582
"VIA MAZZINI SN, 33057, PALMANOVA, UD",10782860158,SERVICE MED S.P.A.,UL-1,45.909424,13.305729
"VIA MAZZINI SNC, 33016, PONTEBBA, UD",02506020300,"LARCHER, DI LENA E CORVA SRL",UL-5,46.507224,13.307817
"VIA MAZZINI SNC, 33070, BRUGNERA, PN",00270140932,FINANZIARIA BETA S.R.L.,SEDE,45.897469,12.544679
"VIA MAZZINI SNC, 33170, PORDENONE, PN",11767361006,HONOS S.R.L.,UL-1,45.957649,12.656567
"VIA MEDEA 13, 33100, UDINE, UD",02856650300,EASY S.R.L.,SEDE,46.08146,13.239132
"VIA MEDICI 8, 20123, MILANO, MI",12546450151,BLU SERVICE S.R.L.,SEDE,45.461176,9.180904
"VIA MEDINA 5, 80133, NAPOLI, NA",07664941213,TIMAVO S.R.L.,SEDE,40.842014,14.252721
"VIA MEDUNA 41, 33170, PORDENONE, PN",01485720930,EASY FLY ITALY S.R.L.,SEDE,45.952346,12.67389
"VIA MEDUNA 43, 33170, PORDENONE, PN",01874350935,F.B.L. S.R.L.,SEDE,45.952092,12.674238
"VIA MEDUNA 51/B, 33170, PORDENONE, PN",97103880585,POSTE ITALIANE - SOCIETA  PER AZIONI,UL-4,45.951284,12.675263
"VIA MEDUNA VECCHIA 51/A, 33170, PORDENONE, PN",01651600932,LA NUOVA PANETTERIA S.R.L.,UL-5,45.95103,12.675335
"VIA MEDUNO 1, 33097, SPILIMBERGO, PN",01420400937,GANIMEDE S.R.L.,SEDE,46.11658,12.892623
"VIA MEGARA 71, 96011, AUGUSTA, SR",01953350897,TECNO  METAL  AUGUSTA S.R.L.,SEDE,37.230294,15.22104
"VIA MELAROLO 4, 33050, TRIVIGNANO UDINESE, UD",03025200308,ECO EVO SRL,SEDE,45.948024,13.34078
"VIA MELCHIORRE GIOIA 121, 20100, MILANO, MI",00598730307,ANCORA SRL,SEDE,45.492879,9.20451
"VIA MELCHIORRE GIOIA 121, 20122, MILANO, MI",00836330324,ZAFFIRO HOLDING S.P.A.,SEDE,45.459792,9.196806
"VIA MELCHIORRE GIOIA 121, 20125, MILANO, MI",00958730301,23 HOLDING S.R.L.,SEDE,45.492879,9.20451
"VIA MELCHIORRE GIOIA 72, 20125, MILANO, MI",02901830303,FIORE S.R.L.,SEDE,45.490597,9.202644
"VIA MELCHIORRE GIOIA 8, 20124, MILANO, MI",02342440399,RIA GRANT THORNTON S.P.A.,SEDE,45.481492,9.19189
"VIA MELEGNANO 107, 33100, UDINE, UD",01190460327,B. ORO S.R.L.,UL-3,46.052344,13.246674
"VIA MELEGNANO 59, 33100, UDINE, UD",02650960301,E.S.A. SRL,UL-2,46.051413,13.242724
"VIA MELEGNANO 66, 33100, UDINE, UD",02011950306,LINEA CASA DI EXPLORER S.R.L.,SEDE,46.051618,13.242954
"VIA MELISURGO 23, 80133, NAPOLI, NA",07756891219,VEHICLE PROCESSING COMPANY ITALY SRL,SEDE,40.840572,14.254868
"VIA MELS 7, 33010, TREPPO GRANDE, UD",02630180301,EDILBOBO S.R.L.,SEDE,46.18634,13.13977
"VIA MENARE  25, 31014, COLLE UMBERTO, TV",01424610267,IMPRESA TONON S.P.A.,SEDE,45.939936,12.339923
"VIA MENEGHIN 1, 33077, SACILE, PN",01554040939,SAMMA SHOPS S.R.L.,UL-11,45.954053,12.508961
"VIA MENEGHINI 2, 33077, SACILE, PN",01744630938,PAVAN S. SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,SEDE,45.957051,12.502871
"VIA MENEGHINI 3, 33077, SACILE, PN",01595750934,IMMO - UNO S.R.L.,SEDE,45.957282,12.502502
"VIA MENEGOZ 11, 33081, AVIANO, PN",01366100939,PROJECT S.R.L.,UL-1,46.109364,12.49843
"VIA MENOTTI 30, 33072, CASARSA DELLA DELIZIA, PN",01654530938,EUROMONTAGGI S.R.L.,SEDE,45.958199,12.841387
"VIA MENOTTI 38, 33072, CASARSA DELLA DELIZIA, PN",01633410939,MN INFORMATICA S.R.L.,SEDE,45.95822,12.841102
"VIA MENOTTI AITA 1/3, 33028, TOLMEZZO, UD",01129850309,PEZ S.R.L.,SEDE,46.393682,13.028258
"VIA MENOTTI AITA 10, 33028, TOLMEZZO, UD",02350840308,GSE S.R.L.,UL-1,46.392931,13.029245
"VIA MENSA 3, 48022, LUGO, RA",02017580396,SOCIETA  AGRICOLA LIBERELLE I S.R.L.,SEDE,44.490302,11.883195
"VIA MENTANA (PARCO MORETTI) 0, 33100, UDINE, UD",01171790320,MONTEDORO S.R.L.,UL-1,46.060618,13.224017
"VIA MENTANA 10, 33100, UDINE, UD",00168610301,AID4MED S.R.L.,SEDE,46.06379199999998,13.226060000000006
"VIA MENTANA 12, 33100, UDINE, UD",01326390307,IMMOBILIARE TORRE STS S.R.L.,SEDE,46.063771,13.226067
"VIA MENTANA 14, 33100, UDINE, UD",01631170931,ROBERTO  &  DIEGO IMMOBILIARE S.R.L.,SEDE,46.06378,13.225894
"VIA MENTANA 15 INT.1, 33100, UDINE, UD",00885450320,SOLUZIONI INFORMATICHE S.R.L.,UL-2,46.064182,13.226382
"VIA MENTANA 15, 33100, UDINE, UD",02950460309,HEPLY S.R.L.,UL-1,46.064182,13.226382
"VIA MENTANA 15/11, 33100, UDINE, UD",03997230275,"RIEDIL S.R.L. IN SIGLA RDL S.R.L., SOCIETA  CON UNICO SOCIO",UL-1,46.064182,13.226382
"VIA MENTANA 20, 33100, UDINE, UD",02842300309,F.Z. IMPIANTI S.R.L.S.,SEDE,46.063533,13.225603
"VIA MENTANA 23, 33100, UDINE, UD",00546330309,IMMOBILIARE M.S. SRL,SEDE,46.063896,13.225721
"VIA MENTANA 25, 33100, UDINE, UD",02707100307,DODI S.R.L.,SEDE,46.063842,13.225697
"VIA MENTANA 56, 33100, UDINE, UD",01210740310,ASSICASA BROKER SRL,SEDE,46.060044,13.222454
"VIA MENTANA 93, 33100, UDINE, UD",02649550304,REBIPOWER S.R.L.,SEDE,46.060889,13.22237
"VIA MENTANA, 33054, LIGNANO SABBIADORO, UD",01621740305,GEL SERVICE S.R.L.,SEDE,45.688424,13.126551
"VIA MERANO 10, 33045, NIMIS, UD",01678000306,DOMENICONE COSTRUZIONI S.R.L.,SEDE,46.19154,13.25659
"VIA MERANO 14, 33045, NIMIS, UD",01776480301,DELTAIMPIANTI S.R.L.,SEDE,46.190897,13.256662
"VIA MERANO 18, 33045, NIMIS, UD",02817090307,EJP ITALIA S.R.L.,UL-1,46.19145,13.25745
"VIA MERANO 30, 33045, NIMIS, UD",01297140327,ALIFAX RESEARCH & DEVELOPMENT S.R.L.,UL-1,46.197184,13.262912
"VIA MERANO 44, 33045, NIMIS, UD",01941500306,OCEANO S.R.L.,SEDE,46.18866,13.2532
"VIA MERANO 48, 33045, NIMIS, UD",01022600306,F. & B. COMPAGNIA COSTRUZIONI IMMOBILIARI SRL,SEDE,46.189407,13.25628
"VIA MERANO 54, 33045, NIMIS, UD",08447720965,BMS LAVORAZIONI MECCANICHE S.R.L.,UL-1,46.191158,13.255058
"VIA MERANO S.N., 33045, NIMIS, UD",02629560307,ISES S.R.L.,SEDE,46.197184,13.262912
"VIA MERANO SNC, 33045, NIMIS, UD",02116270303,DI BETTA GIANNINO SRL,UL-3,46.187885,13.255642
"VIA MERAVIGLI 14, 20123, MILANO, MI",00543900310,EY ADVISORY S.P.A.,SEDE,45.465833,9.182522
"VIA MERCANTINI 11/1, 34127, TRIESTE, TS",01291820320,MANINPASTA SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-1,45.657041,13.794719
"VIA MERCATO 01/A, 33054, LIGNANO SABBIADORO, UD",02667500306,ABO S.R.L.,UL-1,45.684191,13.124995
"VIA MERCATO 13, 33052, CERVIGNANO DEL FRIULI, UD",01183150315,CSD S.R.L.,SEDE,45.820568,13.33227
"VIA MERCATO 2, 33077, SACILE, PN",00591670930,CAMELGROUP S.R.L.,SEDE,45.953157,12.503898
"VIA MERCATO 2/A, 33077, SACILE, PN",01558400931,APPER S.R.L.,SEDE,45.953181,12.503725000000001
"VIA MERCATO 23/25, 33052, CERVIGNANO DEL FRIULI, UD",00379040314,NOVA SALUS  S.R.L.,UL-1,45.819991,13.33129
"VIA MERCATO 8, 33052, CERVIGNANO DEL FRIULI, UD",02954880304,DP CONSULTING S.R.L.,UL-1,45.82086,13.332459
"VIA MERCATO VECCHIO 1, 33040, PREMARIACCO, UD",02973000306,PIANI S.R.L.,SEDE,46.037334,13.381251
"VIA MERCATO VECCHIO 1, 34124, TRIESTE, TS",00696820323,ADRIATIC FINANCE AND TRADE SRL,UL-1,45.649416,13.766108
"VIA MERCATO VECCHIO 1/D, 34124, TRIESTE, TS",01140280320,JZN.IMM S.R.L.,SEDE,45.649416,13.766108
"VIA MERCATO VECCHIO 11, 33100, UDINE, UD",02957220300,P/CONCEPT S.R.L.,SEDE,46.063751,13.234927
"VIA MERCATO VECCHIO 17/19, 33100, UDINE, UD",09339391006,BANCA  NAZIONALE DEL LAVORO S.P.A. O IN FORMA CONTRATTA BNL S.P.A.,UL-2,46.063987,13.234576
"VIA MERCATO VECCHIO 20, 33100, UDINE, UD",01094940317,VISTA PIU  S.R.L.,UL-2,46.064254,13.234066
"VIA MERCATO VECCHIO 23, 33100, UDINE, UD",03946260274,DNA S.R.L.,UL-1,46.064151,13.234502
"VIA MERCATO VECCHIO 28/A, 33100, UDINE, UD",01239330937,ERREMODA SRL,UL-10,46.064543,13.233928
"VIA MERCATO VECCHIO 31, 33100, UDINE, UD",02729230306,CRISTIAN GOLD INVESTMENT S.R.L.,SEDE,46.064375,13.234311
"VIA MERCATOVECCHIO 1, 33100, UDINE, UD",02180450302,BARRISTO S.R.L.,SEDE,46.063594,13.235137
"VIA MERCATOVECCHIO 1/A, 33100, UDINE, UD",07760860010,BANCA REALE S.P.A.,UL-1,46.06358,13.235068
"VIA MERCATOVECCHIO 11, 33100, UDINE, UD",00288130305,3F  INVEST  S.R.L.,SEDE,46.06375100000001,13.234927
"VIA MERCATOVECCHIO 12, 33100, UDINE, UD",00391490273,SOCIETA  AL DUCA D AOSTA S.P.A.  E DENOMINAZIONE BREVE AL DUCA D AOSTA S.P.A.,UL-1,46.063934,13.234299
"VIA MERCATOVECCHIO 13, 33100, UDINE, UD",00833240328,BANCA GENERALI - SOCIETA  PER AZIONI O IN FORMA ABBREVIATA: GENERBANCA,UL-1,46.063886,13.234682
"VIA MERCATOVECCHIO 18-18/A, 33100, UDINE, UD",02431790308,CUMINI TRE S.R.L.,UL-2,46.064138,13.23412
"VIA MERCATOVECCHIO 2, 33100, UDINE, UD",02367870306,ARTENI SPA,UL-9,46.063505,13.234753
"VIA MERCATOVECCHIO 20/5, 33100, UDINE, UD",02500310301,GIEMGI IMMOBILIARE SRL,SEDE,46.064254,13.234066
"VIA MERCATOVECCHIO 26, 33100, UDINE, UD",02119240303,E-SPACE S.R.L.,UL-4,46.064462,13.233958
"VIA MERCATOVECCHIO 27, 33100, UDINE, UD",02119240303,E-SPACE S.R.L.,UL-9,46.064229,13.234411
"VIA MERCATOVECCHIO 28, 33100, UDINE, UD",03728680632,ORIGINAL MARINES S.P.A.,UL-5,46.064543,13.233928
"VIA MERCATOVECCHIO 28B, 33100, UDINE, UD",02621450283,D.M.O.  -  DETTAGLIO MODERNO ORGANIZZATO S.P.A.,UL-12,46.064543,13.233928
"VIA MERCATOVECCHIO 29, 33100, UDINE, UD",00288130305,AJMO S.R.L.,UL-1,46.064343,13.234404
"VIA MERCATOVECCHIO 37, 33100, UDINE, UD",02089510305,STORE & STORE S.R.L.,SEDE,46.064608,13.234132
"VIA MERCATOVECCHIO 39, 33100, UDINE, UD",02896340300,OHI HOTELS SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,SEDE,46.064619,13.234169
"VIA MERCATOVECCHIO 4, 33100, UDINE, UD",02167160304,CASA TONINI SRL,SEDE,46.063508,13.234412
"VIA MERCATOVECCHIO 41, 33100, UDINE, UD",02550640300,SMILE S.R.L.,UL-1,46.064626,13.234174
"VIA MERCATOVECCHIO 6, 33100, UDINE, UD",02742760545,LUISA SPAGNOLI S.P.A.,UL-1,46.063439,13.23468
"VIA MERCATOVECCHIO 8/2, 33100, UDINE, UD",02861670301,DOPPIA M SRLS,UL-1,46.063479,13.234787
"VIA MERCATOVECCHIO, 41, 33100, UDINE, UD",02934080306,G.S.A. SRL,UL-1,46.064626,13.234174
"VIA MERCERIE 2, 33100, UDINE, UD",00986680304,SIMER SRL,UL-5,46.063476,13.234648
"VIA MERCERIE 4, 33100, UDINE, UD",02520790300,MEDIA MAX SRL,SEDE,46.063437,13.234377
"VIA MERCERIE 5, 33100, UDINE, UD",01869710267,LE TRE VENEZIE - S.R.L.,UL-2,46.063421,13.234433
"VIA MERCERIE 7, 33100, UDINE, UD",02865730309,AZIMUTH DATA SRL,SEDE,46.063323,13.234354000000002
"VIA MERCERIE 8, 33100, UDINE, UD",00288130305,CROATTO  1901 SRL,SEDE,46.063312,13.23447
"VIA MERCERIE 9, 33100, UDINE, UD",00826160301,GRUPPO C.I. S.R.L.,UL-3,46.063297,13.234312
"VIA MERCURIO 4, 33075, MORSANO AL TAGLIAMENTO, PN",01309710935,PILLOSIO S.R.L.,SEDE,45.859583,12.929101
"VIA MERETTO 1, 33050, TRIVIGNANO UDINESE, UD",02434790305,CURWOOD SRL,SEDE,45.941494,13.337692
"VIA MERLO 2, 36060, ROMANO D EZZELINO, VI",00170620249,F.LLI CAMPAGNOLO S.P.A.,SEDE,45.796244,11.758273
"VIA MERLO CARLO GIUSEPPE 3, 20122, MILANO, MI",01921910152,J.A.S. JET AIR SERVICE SPA,SEDE,45.462553,9.196006
"VIA MERULANA 88, 185, ROMA, RM",03810221006,ITALDROPS - SOCIETA A RESPONSABILITA LIMITATA,SEDE,41.891548,12.502352
"VIA MESCHIO 11, 33070, CANEVA, PN",01816660938,BUONIT SRL,SEDE,45.948106,12.450834
"VIA MESINIS 7, 33092, MEDUNO, PN",02184320261,DE LOTTO LA CEREAL S.R.L.,UL-4,46.187284,12.808959
"VIA MESOL 18, 33052, CERVIGNANO DEL FRIULI, UD",02901340303,NEC TRAVEL SERVICE SRLS - SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,SEDE,45.821832,13.332019
"VIA MESTRE 30, 33170, PORDENONE, PN",01153690936,ECOVAL  S.P.A.,SEDE,45.950318,12.663747
"VIA MESTRE 32, 33170, PORDENONE, PN",01320870932,ALESSANDRO SANTIN S.R.L.,SEDE,45.95055,12.664733
"VIA MESTRE 48, 33170, PORDENONE, PN",01369220932,KRONOS S.R.L,SEDE,45.94941,12.66532
"VIA MESTRE 6, 33170, PORDENONE, PN",01688470937,C&C GROUP OSPITALITA  ITALIANA SRL,UL-4,45.951181,12.664169
"VIA MESTRE 7, 33170, PORDENONE, PN",01845040938,QM SERVICE S.R.L.S.,SEDE,45.951092,12.664382
"VIA MESTRE 9, 33170, PORDENONE, PN",04495361000,SERVIZI & GESTIONI ITALIA S.R.L.,UL-11,45.950115,12.665005
"VIA MEUCCI 1, 33058, SAN GIORGIO DI NOGARO, UD",00051020329,BFR MECCANICA S.R.L.,UL-1,45.796361,13.225444
"VIA MEUCCI 17, 74027, SAN GIORGIO IONICO, TA",00790780720,KILOIRO-IMPRESA EDILE  S.R.L.,SEDE,40.460173,17.381958
"VIA MEUCCI 20, 30020, NOVENTA DI PIAVE, VE",02243850274,TERGAS S.R.L.,SEDE,45.660419,12.530159
"VIA MEUCCI 26, 30016, JESOLO, VE",03663910275,M.V.M. S.R.L.,SEDE,45.546242,12.64891
"VIA MEUCCI 3, 30020, NOVENTA DI PIAVE, VE",04080510276,CARAMEL MOBILI S.R.L.,SEDE,45.660419,12.530159
"VIA MEUCCI 3, 33058, SAN GIORGIO DI NOGARO, UD",02841690304,ARMARE S.R.L.,SEDE,45.794757,13.220138
"VIA MEUCCI 40, 37036, SAN MARTINO BUON ALBERGO, VR",02594550234,RINALDIN S.R.L.,SEDE,45.419571,11.114268
"VIA MEUCCI 46, 36057, ARCUGNANO, VI",04352200234,CZETA S.P.A.,SEDE,45.507377,11.513098
"VIA MEUCCI 6, 33082, AZZANO DECIMO, PN",01678290931,FAVALESSA TRASPORTI S.R.L.,SEDE,45.881321,12.71447
"VIA MEUCCI 9, 33058, SAN GIORGIO DI NOGARO, UD",01874440306,MIC.RA IMPIANTI S.R.L.,SEDE,45.795143,13.219928
"VIA MEUCCI S.N., 33058, SAN GIORGIO DI NOGARO, UD",02591480302,FUTURA S.R.L.,UL-4,45.794757,13.220138
"VIA MEUCCI SN, 33058, SAN GIORGIO DI NOGARO, UD",02032300655,TRANS - ITALIA  -  S.R.L.,UL-1,45.794757,13.220138
"VIA MEZZACAMPAGNA 24, 33070, CANEVA, PN",04707030260,ULIANA CORRADO S.R.L.,UL-1,45.959274,12.448011
"VIA MEZZAVILLA 112, 37032, MONTEFORTE D ALPONE, VR",04348320237,ZONA FRANCA S.R.L.,SEDE,45.449665,11.293278
"VIA MEZZOMONTE 1/A, 33077, SACILE, PN",01542930936,G.F. CASA S.R.L.,SEDE,45.943698,12.457562
"VIA MEZZOMONTE 10, 33077, SACILE, PN",01578320937,NEW TRADE S.R.L.,SEDE,45.944581,12.457821
"VIA MEZZOMONTE 11, 33077, SACILE, PN",01828070936,M.ARTE DESIGN S.R.L.,SEDE,45.945145,12.457187
"VIA MEZZOMONTE 12, 33077, SACILE, PN",01578120931,IMMOBILIARE SANTIN S.R.L.,SEDE,45.945057,12.457804
"VIA MEZZOMONTE 14, 33077, SACILE, PN",01336970932,P. & P. S.R.L.,UL-3,45.945396,12.45773
"VIA MEZZOMONTE 16, 33077, SACILE, PN",01336970932,ICREO SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,SEDE,45.945361,12.459476
"VIA MEZZOMONTE 18, 33077, SACILE, PN",00376260709,BOIANOFLON S.R.L.,SEDE,45.945746,12.459609
"VIA MEZZOMONTE 19, 33077, SACILE, PN",01809080938,FELIS S.R.L.,UL-1,45.945419,12.459178
"VIA MEZZOMONTE 21, 33077, SACILE, PN",01809080938,FELIS S.R.L.,UL-1,45.945734,12.459288
"VIA MEZZOMONTE 22, 33077, SACILE, PN",01544250937,B.P.A. ASSEMBLAGGI S.R.L.,SEDE,45.946192,12.459762
"VIA MEZZOMONTE 24, 33077, SACILE, PN",01279780934,ARTI INFORMATICHE SRL,SEDE,45.946412,12.460015
"VIA MEZZOMONTE 4 INT.4, 33077, SACILE, PN",01123890269,LABOR-LEGNO S.R.L.,UL-2,45.943921,12.457939
"VIA MEZZOMONTE 4, 33077, SACILE, PN",01123890269,LABOR-LEGNO S.R.L.,SEDE,45.94392100000001,12.457939000000001
"VIA MEZZOMONTE 7, 33077, SACILE, PN",01784890939,CRIMAX SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,SEDE,45.944509,12.457471
"VIA MEZZOMONTE 8, 33077, SACILE, PN",01775750936,ATTIVA SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,SEDE,45.94444,12.457823
"VIA MICCA 14, 34070, FOGLIANO REDIPUGLIA, GO",01942870302,STROILI ORO S.P.A.,UL-1,45.867377,13.48049
"VIA MICESIO 31, 33100, UDINE, UD",00805980158,SODEXO ITALIA S.P.A.,UL-6,46.069444,13.227918
"VIA MICESIO 51, 33100, UDINE, UD",02891140309,RAIANNABEL SRL,UL-2,46.069974,13.228741
"VIA MICHELANGELO 1, 80020, FRATTAMINORE, NA",04485771218,SOCIETA  IMMOBILIARE COSTRUZIONI D AMBROSIO S.R.L.,SEDE,40.961048,14.265852
"VIA MICHELANGELO 2/A, 33097, SPILIMBERGO, PN",01839200936,ERRE 8 SOLUTIONS SRLS - SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,SEDE,46.1118,12.892865
"VIA MICHELANGELO 4, 33019, TRICESIMO, UD",02952250302,PRODUCTION SERVICE SRLS,SEDE,46.144297,13.218069
"VIA MICHELANGELO 9, 33097, SPILIMBERGO, PN",01403110933,ZAVAGNO P.I. GIOVANNI S.R.L.,SEDE,46.112663,12.892594
"VIA MICHELANGELO BUONAROTTI 6, 33085, MANIAGO, PN",97103880585,POSTE ITALIANE - SOCIETA  PER AZIONI,UL-19,46.149651,12.745853
"VIA MICHELANGELO BUONARROTI 1/B, 34074, MONFALCONE, GO",01071750317,EDIL TEMPO  SRL,SEDE,45.807268,13.526156
"VIA MICHELANGELO BUONARROTI 10, 34170, GORIZIA, GO",00496160318,ADRIA LINK S.R.L.,SEDE,45.937499,13.613878
"VIA MICHELANGELO BUONARROTI 11/13, 33044, MANZANO, UD",05617370969,CALLIGARIS S.P.A.,UL-8,45.980563,13.365651
"VIA MICHELANGELO BUONARROTI 12, 33044, MANZANO, UD",02227190309,CLEMENTE CONTIN S.R.L.,SEDE,45.981603,13.365843
"VIA MICHELANGELO BUONARROTI 18, 33010, TAVAGNACCO, UD",02982250306,ESTETICA JOLIE SRLS,SEDE,46.108485,13.219631
"VIA MICHELANGELO BUONARROTI 18, 33019, TRICESIMO, UD",02094770308,GUERRA DOORS S.R.L.,SEDE,46.1451,13.220314
"VIA MICHELANGELO BUONARROTI 2, 33044, MANZANO, UD",00543540314,SE.DE.CO. SRL,SEDE,45.988842,13.376344
"VIA MICHELANGELO BUONARROTI 20, 33044, MANZANO, UD",02682560301,NAUTEA S.R.L.,UL-2,45.978751,13.36458
"VIA MICHELANGELO BUONARROTI 203, 20900, MONZA, MB",00327210183,ARCO SPEDIZIONI S.P.A.,SEDE,45.564273,9.292849
"VIA MICHELANGELO BUONARROTI 22, 33010, TAVAGNACCO, UD",01801821206,LABORATORIO DINE S.R.L.,UL-1,46.108585,13.219518
"VIA MICHELANGELO BUONARROTI 32, 33010, TAVAGNACCO, UD",00962200309,FRIULANA CUSCINETTI S.R.L.,SEDE,46.109864,13.218462
"VIA MICHELANGELO BUONARROTI 34, 33010, TAVAGNACCO, UD",01181930312,AQALITY S.R.L.,SEDE,46.109828,13.218793
"VIA MICHELANGELO BUONARROTI 39, 20145, MILANO, MI",10941920968,PEPCO ITALY S.R.L.,SEDE,45.471619,9.155154
"VIA MICHELANGELO BUONARROTI 40, 33010, TAVAGNACCO, UD",01847810304,EUROSIDER SERVICE S.R.L.,SEDE,46.111258,13.217375
"VIA MICHELANGELO BUONARROTI 41, 33010, TAVAGNACCO, UD",01779950334,EMPORIO ADV SRL,SEDE,46.10838900000001,13.219164999999998
"VIA MICHELANGELO BUONARROTI 6/B, 34170, GORIZIA, GO",00844080325,SERVIZI ASSISTENZA LAVORO - S.R.L.,UL-4,45.937913,13.612867
"VIA MICHELANGELO BUONARROTI 9, 33044, MANZANO, UD",05617370969,CALLIGARIS S.P.A.,UL-9,45.984319,13.354904
"VIA MICHELANGELO GRIGOLETTI 111, 33170, PORDENONE, PN",00635350937,FIORERIA BATTISTELLA & BARBERI S.R.L.,SEDE,45.967241,12.630065
"VIA MICHELANGELO GRIGOLETTI 41/A, 33170, PORDENONE, PN",01833350935,LINEABLU SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,SEDE,45.964206,12.646458
"VIA MICHELANGELO GRIGOLETTI 60, 33170, PORDENONE, PN",01884170935,EMI S.R.L.S.,SEDE,45.964372,12.64821
"VIA MICHELE DELLA TORRE 2, 33170, PORDENONE, PN",01424790937,MAI VISTO S.R.L.,SEDE,45.946174,12.666219
"VIA MICHELE GORTANI 13/2, 33033, CODROIPO, UD",02570480307,COSTRUZIONI BRAVIN S.R.L.,SEDE,45.949021,12.972382
"VIA MICHELE POMPANIN 3, 34070, MARIANO DEL FRIULI, GO",00541910311,AURORA GROUP S.R.L.,SEDE,45.905787,13.465484
