Indirizzo Completo,A-Codice fiscale,A-Denominazione,First A-Sede/U.L.,Average of Lat,Average of Long
"STRADA SAN MARTINO 5, 33047, REMANZACCO, UD",02975980307,NEWTEAM S.R.L. - SOCIETA  SPORTIVA DILETTANTISTICA,UL-1,46.079991,13.309471
"STRADA ST. PONTEBBANA KM.86, 33080, FIUME VENETO, PN",01405720937,BLU LEGNO S.R.L.,UL-3,45.946094,12.725926
"STRADA STATALE 13 - VIA CAMPAGNOLA 110, 33013, GEMONA DEL FRIULI, UD",02743670305,IMOBILITY.EU SRL,UL-2,46.29418,13.115347
"STRADA STATALE 13 KM.146 - VIA JULIA AUGUSTA 2, 33010, MAGNANO IN RIVIERA, UD",02048810309,SEIDUESEI S.R.L.,UL-1,46.214951,13.180659
"STRADA STATALE 13 PONTEBBANA 13, 33010, CASSACCO, UD",01942870302,STROILI ORO S.P.A.,UL-4,46.174468,13.184169
"STRADA STATALE 13 PONTEBBANA KM 143, 33010, CASSACCO, UD",02390510309,L ALBERO MAGICO S.R.L.,UL-1,46.174468,13.184169
"STRADA STATALE 13 PONTEBBANA S.N., 33017, TARCENTO, UD",02562460309,PIROBLU S.R.L.,UL-1,46.215342,13.210466
"STRADA STATALE 14 KM 163.5 SN, 34149, TRIESTE, TS",01091420321,GLANCE VISION TECHNOLOGIES SRL IN SIGLA GVT SRL,UL-1,45.641248,13.862101
"STRADA STATALE 251, 33080, CLAUT, PN",00991720327,CELINIA - S.R.L.,UL-1,46.270967,12.535883
"STRADA STATALE 352 52/B, 33050, PAVIA DI UDINE, UD",02463640306,TELNET SERVIZI S.R.L.,UL-1,46.004282,13.273131
"STRADA STATALE 54 5, 33047, REMANZACCO, UD",00989490305,3F  INVEST  S.R.L.,UL-1,46.085584,13.324499
"STRADA STATALE LATISANA-LIGNANO, 33050, MARANO LAGUNARE, UD",01236720304,MARINA PUNTA GABBIANI APRILIA MARITTIMA S.R.L.,UL-1,45.76106,13.169539
"STRADA STATALE PER GRADO, 33050, PAVIA DI UDINE, UD",00437790306,FRIUL-FIN SERVIZIO LEASING S.P.A.,UL-4,45.996285,13.302528
"STRADA STATALE PONTEBBANA (VIA NAZIONALE) 127, 33010, TAVAGNACCO, UD",00826900326,THOR S.R.L.,UL-1,46.127465,13.210952
"STRADA STATALE PONTEBBANA 13 79, 33031, BASILIANO, UD",01851360303,CERPOSA S.R.L.,UL-1,46.014448,13.106035
"STRADA STATALE PONTEBBANA 77, 33031, BASILIANO, UD",01478210931,C. & C. IMMOBILIARE SRL,UL-1,46.014448,13.106035
"STRADA STATALE PONTEBBANA 93, 33031, BASILIANO, UD",01649950308,AL.PHA.MED. S.R.L.,UL-1,46.014448,13.106035
"STRADA STATALE PONTEBBANA KM 1 0, 33010, CASSACCO, UD",01046380307,DI.MA. S.R.L.,UL-5,46.174468,13.184169
"STRADA STATALE PONTEBBANA KM 119, 33031, BASILIANO, UD",02026100301,CENTRO GENERALE MACCHINE S.R.L.,UL-1,46.014448,13.106035
"STRADA STATALE PONTEBBANA KM. 143 INT/3, 33010, CASSACCO, UD",01571600301,REVERSO - S.R.L.,UL-4,46.174468,13.184169
"STRADA STATALE PONTEBBANA KM. 146,100, 33017, TARCENTO, UD",00650830300,FRIUL AL S.R.L.,UL-1,46.207559,13.188083
"STRADA STATALE PONTEBBANA KM.143, 33010, CASSACCO, UD",01571600301,REVERSO - S.R.L.,UL-6,46.174468,13.184169
"STRADA STATALE UDINE-TRIESTE KM. 7,4, 33040, PRADAMANO, UD",00462870312,IMAPACK INTERNATIONAL S.R.L.,UL-1,46.032482,13.302946
"STRADA VECCHIA DELL ISTRIA 10, 34148, TRIESTE, TS",01224080323,CAF & SERVIZI FRIULI VENEZIA GIULIA S.R.L.,UL-2,45.625095,13.795747
"STRADA VECCHIA DELL ISTRIA 2, 34137, TRIESTE, TS",01131530329,PANIFICIO-PASTICCERIA TRAVAN S.R.L.,UL-2,45.640605,13.784134
"STRADA VECCHIA DELL ISTRIA 2, 34148, TRIESTE, TS",01313650325,PROJECT LAB SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-1,45.617133,13.812114
"STRADA VECCHIA DELL ISTRIA 46, 34148, TRIESTE, TS",01335160329,PARADISO SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA.,UL-1,45.624441,13.796245
"STRADA VECCHIA DELL ISTRIA 8, 34148, TRIESTE, TS",01477050932,GERES S.R.L.,UL-8,45.617133,13.812114
"STRADA VECCHIA PER RIVIGNANO 6, 33061, RIVIGNANO TEOR, UD",03006270304,ALPHA MOBILITY S.R.L.,UL-1,45.863169,13.049833
"STRADA VECCHIA PER RIVIGNANO 9/11, 33061, RIVIGNANO TEOR, UD",02071760306,SALUMIFICIO PITACCOLO G. S.R.L.,UL-3,45.863169,13.049833
"STRADA VENEZIA GIULIA 581, 33050, TORVISCOSA, UD",02509160301,PIRAD  S.R.L.,UL-1,45.82662,13.265441
"STRADA VICINALE DEGLI OLMI 1, 33050, GONARS, UD",02813950306,DA.DA. SRL,UL-1,45.900529,13.25317
"STRADA VICINALE PRADUSSEL RENA SNC, 33050, GONARS, UD",02242040265,GHIAIE PONTE ROSSO S.R.L.,UL-1,45.896546,13.237514
"STRADA VILLOTTA DI TEZZE SNC, 33081, AVIANO, PN",02905190308,METHANEST S.R.L. SOCIETA  AGRICOLA,UL-2,46.109364,12.49843
"STRADA VISTORTA 58, 33077, SACILE, PN",01862850938,CA  NEVA S.R.L.,UL-1,45.935166,12.483606
"STRETTA CERCHIARI 01, 33043, CIVIDALE DEL FRIULI, UD",01965740309,ALIPAK S.R.L.,UL-1,46.093802,13.431832
"STRETTO SAN VALENTINO 29, 33043, CIVIDALE DEL FRIULI, UD",02757490301,SOCIETA  GASTRONOMICA FRIULANA SOCIETA  A RESPONSABILITA LIMITATA SEMPLIFICATA,UL-4,46.09561,13.430792
"TANGENZIALE OVEST, VIA VENEZIA 1, 33010, TAVAGNACCO, UD",02755860307,TANK S.R.L.,UL-1,46.116984,13.21987
"TANGENZIALE SUD - VIA G. CONTI 300, 33100, UDINE, UD",02196480301,GIGLIO  SRL,UL-1,46.114814,13.26744
"TETTOIA EX OFFICINA MOTORISTI SNC, 34123, TRIESTE, TS",01041280932,VECAR S.R.L.,UL-3,45.641781,13.761959
"URSININS PICCOLO SNC, 33030, BUJA, UD",02687400305,IN MENSA S.R.L.,UL-1,46.205994,13.119415
"V.FAULA-NOGARA-LUZZATO-MARTINI 1, 33100, UDINE, UD",02675050302,HANDY STORE S.R.L.,UL-3,46.06276,13.2184
"VAI RIMEMBRANZE 23, 33082, AZZANO DECIMO, PN",01224080323,CAF & SERVIZI FRIULI VENEZIA GIULIA S.R.L.,UL-5,45.882928,12.710429
"VALDIRIVO 17, 34132, TRIESTE, TS",01176210316,ADP S.R.L.,UL-1,45.653129,13.773728
"VALICO DI RABUIESE, 34015, MUGGIA, TS",00799730320,FRANCESCO KATALAN CASA DI SPEDIZIONI - S.R.L.,UL-3,45.582914,13.797175
"VENCO  SANT ELENA S.N., 34070, DOLEGNA DEL COLLIO, GO",02100150305,SANTA CATERINA S.R.L. - SOCIETA  AGRICOLA,UL-1,46.031495,13.479288
"VIA 1 MAGGIO 3/1, 33052, CERVIGNANO DEL FRIULI, UD",02220530303,PREINDL & PAOLONI S.R.L.,UL-1,45.822791,13.337025
"VIA 11 FEBBRAIO 126, 33030, CAMPOFORMIDO, UD",02817460302,GEFF S.R.L.,UL-1,46.035346,13.152608
"VIA 11 FEBBRAIO 27, 33019, TRICESIMO, UD",01832530305,SANIRAD  S.R.L.,UL-6,46.159415,13.206108
"VIA 2 GIUGNO 13, 34076, ROMANS D ISONZO, GO",00027730316,POSTIR S.R.L.,UL-3,45.892833,13.453551
"VIA 2 GIUGNO SN, 34076, ROMANS D ISONZO, GO",00027730316,POSTIR S.R.L.,UL-2,45.893665,13.454105
"VIA 21 - 22 LUGLIO 7, 33026, PALUZZA, UD",01058530328,CONFARTIGIANATO SERVIZI FRIULI VENEZIA GIULIA S.R.L.,UL-11,46.529747,13.015571
"VIA 21 - 22 LUGLIO, 33026, PALUZZA, UD",01707560304,CONFARTIGIANATO UDINE SERVIZI S.R.L.,UL-7,46.529454,13.015959
"VIA 24 MAGGIO 134, 34074, MONFALCONE, GO",01786950301,LUX FIDELIS S.R.L.,UL-2,45.811603,13.510877
"VIA 24 MAGGIO 8, 33097, SPILIMBERGO, PN",01434120935,AGRIDATA S.R.L.,UL-1,46.11006,12.902177
"VIA 25 MARZO 1944 2, 33018, TARVISIO, UD",02777300308,STAC SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-1,46.465475,13.55346
"VIA 3 APRILE 1/2, 34070, MEDEA, GO",00147080311,S.A.L.I.T. S.R.L.,UL-1,45.918476,13.426714
"VIA 30 OTTOBRE 8, 34122, TRIESTE, TS",01804170932,GEA TOUR SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-1,45.652895,13.774885
"VIA 4 NOVEMBRE 3, 33050, MORTEGLIANO, UD",01642820300,O.M.I.  SRL,UL-1,45.944994,13.169719
"VIA 4 NOVEMBRE 41, 33010, TAVAGNACCO, UD",02262320308,F.M.I. S.R.L.,UL-1,46.099985,13.222863
"VIA 4 NOVEMBRE 41/43, 33050, GONARS, UD",02840620302,DUEMME SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-2,45.890145,13.259378
"VIA 7 GIUGNO 11, 34077, RONCHI DEI LEGIONARI, GO",01180370312,MUSICA & SERVIZI S.R.L.S.,UL-2,45.823907,13.498577
"VIA A. ANGELI 41, 33017, TARCENTO, UD",02537750305,O.F. MANSUTTI SRL,UL-1,46.212715,13.220569
"VIA A. ANGELI 76, 33017, TARCENTO, UD",02737090304,CHIMICA CONCIARIA GROUP SRLS,UL-1,46.212183,13.220695
"VIA A. BARDELLI 4, 33035, MARTIGNACCO, UD",01239820325,AM FUNCONCEPT S.R.L.,UL-1,46.086351,13.181996
"VIA A. BARDELLI SNC, 33035, MARTIGNACCO, UD",01942870302,STROILI ORO S.P.A.,UL-346,46.086078,13.179189
"VIA A. BERGAMAS 7, 34072, GRADISCA D ISONZO, GO",02650460302,FREE ENERGY GROUP SRL,UL-1,45.889107,13.502337
"VIA A. BOITO 16, 34074, MONFALCONE, GO",01158010312,AF INTERNI S.R.L. ARTIGIANA,UL-1,45.804286,13.535647
"VIA A. BOITO 18, 34074, MONFALCONE, GO",01158010312,AF INTERNI S.R.L. ARTIGIANA,UL-2,45.804172,13.53595
"VIA A. BOITO 4, 34074, MONFALCONE, GO",01075960318,ASSIGO S.R.L.,UL-1,45.804816,13.533759
"VIA A. CARDAZZO 25, 33070, BUDOIA, PN",02649680309,FINESTRA 4 SRL,UL-1,46.044172,12.532124
"VIA A. CARPENE  2, 33070, BRUGNERA, PN",01033070937,VETRERIA GIACON LUIGI S.R.L.,UL-3,45.912714,12.54975
"VIA A. CARPENE  23/A, 33070, BRUGNERA, PN",00398970939,PANSPED S.R.L.,UL-9,45.913443,12.553778
"VIA A. CORRADO, 33044, MANZANO, UD",01667250300,LE VIGNE DI ZAMO  S.R.L. -  SOCIETA  AGRICOLA,UL-2,45.988842,13.376344
"VIA A. DE POLLIS 19, 33048, SAN GIOVANNI AL NATISONE, UD",00276990306,MENIS S.R.L.,UL-2,45.938383,13.392447
"VIA A. DIAZ 36/3, 34070, SAN PIER D ISONZO, GO",01132600311,3 G - TREGI S.R.L.,UL-1,45.847553,13.456402
"VIA A. FRESCHI SNC, 33079, SESTO AL REGHENA, PN",01277170930,FELETTI IMMOBILIARE S.R.L.,UL-2,45.848377,12.815395
"VIA A. GRAMSCI 6, 33059, FIUMICELLO VILLA VICENTINA, UD",02184680300,ACLI SERVICE UDINE S.R.L.,UL-7,45.813704,13.395283
"VIA A. L. MORO 22, 33078, SAN VITO AL TAGLIAMENTO, PN",00449100932,S.I.E.COM S.R.L.,UL-1,45.915157,12.859602
"VIA A. MALIGNANI 11, 33058, SAN GIORGIO DI NOGARO, UD",02102550155,IGINO MAZZOLA S.P.A.,UL-3,45.798318,13.216623
"VIA A. MALIGNANI 5 - 7, 33031, BASILIANO, UD",02571350301,CARR SERVICE SRL,UL-4,46.008544,13.117406
"VIA A. MALIGNANI 5, 33010, REANA DEL ROJALE, UD",01167390317,RDCI S.R.L.,UL-2,46.141874,13.237619
"VIA A. MALIGNANI 6, 33037, PASIAN DI PRATO, UD",02811180302,BLC SRL CARPENTERIE,UL-1,46.053043,13.169898
"VIA A. MALIGNANI 69, 33031, BASILIANO, UD",02336830308,BEER CONCEPT ITALIA  S.R.L. IN SIGLA B.C.I. SRL,UL-2,46.011618,13.124533
"VIA A. MALIGNANI 73, 33031, BASILIANO, UD",02921920308,HSM S.R.L.S.,UL-1,46.012107,13.12485
"VIA A. MALIGNANI 77/1, 33031, BASILIANO, UD",04602130264,CO.GE.VI. S.R.L.,UL-1,46.012781,13.125002
"VIA A. MALIGNANI 9, 33010, REANA DEL ROJALE, UD",01167390317,RDCI S.R.L.,UL-3,46.141874,13.237619
"VIA A. MALIGNANI S.N., 33057, PALMANOVA, UD",02136000300,SALA GIOCHI PONTE ORLANDO S.R.L.,UL-2,45.91017,13.33183
"VIA A. MANZONI 6, 33100, UDINE, UD",01038120307,GRUPPO ILLIRIA S.P.A.,UL-26,46.058309,13.238
"VIA A. MANZONI 68, 33080, FIUME VENETO, PN",01846210936,PARTIDOR S.R.L.,UL-3,45.921049,12.75973
"VIA A. MANZONI 9, 34073, GRADO, GO",00440330314,ASCOM SERVIZI GORIZIA - CENTRO DI ASSISTENZA FISCALE (C.A.F.) S.R.L.,UL-3,45.67834,13.387267
"VIA A. MEUCCI 1, 33058, SAN GIORGIO DI NOGARO, UD",01539460301,FANTONI S.P.A.,UL-7,45.796361,13.225444
"VIA A. MONTEGNACCO 21/A, 33010, CASSACCO, UD",02879420301,TEVO S.R.L.,UL-1,46.176691,13.204275
"VIA A. P. CANDONI 60, 33028, TOLMEZZO, UD",01522960309,MARTINELLI S.R.L.,UL-4,46.391358,13.028905
"VIA A. PALLADIO 15, 33010, TAVAGNACCO, UD",02796510309,KOKI S.R.L.,UL-1,46.112719,13.217813
"VIA A. PONCHIELLI 6, 34074, MONFALCONE, GO",01369030935,CREDIT AGRICOLE FRIULADRIA - SOCIETA  PER AZIONI,UL-2,45.80685,13.531209
"VIA A. PRAMPERO 5, 33100, UDINE, UD",02393680307,ALDO BULFONE GROUP S.R.L.,UL-1,46.061656,13.237352
"VIA A. SELLO 10, 33050, PAVIA DI UDINE, UD",01974760306,NUOVA SELAS S.R.L.,UL-7,45.987726,13.314577
"VIA A. USODIMARE 2, 34147, TRIESTE, TS",00930530324,ACEGASAPSAMGA S.P.A.,UL-24,45.618021,13.821032
"VIA A. VOLTA 1, 33170, PORDENONE, PN",02611250305,MAGOS SRL,UL-1,45.973373,12.66387
"VIA A. VOLTA 12, 33082, AZZANO DECIMO, PN",01586270934,PERLARREDI SRL,UL-1,45.892313,12.694384
"VIA A. VOLTA 13, 33058, SAN GIORGIO DI NOGARO, UD",02944960307,I. BLU S.R.L.,UL-1,45.78159,13.237144
"VIA A. VOLTA 3, 34070, MARIANO DEL FRIULI, GO",00480400316,CONTIAUTO - SOCIETA  A RESPONSABILITA  LIMITATA,UL-2,45.90189,13.469571
"VIA A. VOLTA 9, 34071, CORMONS, GO",02625290305,SP 20 S.R.L.,UL-1,45.945876,13.440709
"VIA A. VOLTA SNC, 34071, CORMONS, GO",00151120300,ILCAM S.P.A.,UL-8,45.945056,13.467873
"VIA A. ZANUSSI 303, 33100, UDINE, UD",02981020304,CRISP SRL,UL-1,46.004406,13.269557
"VIA A. ZANUSSI SNC, 33100, UDINE, UD",02984500302,M.M. SRL,UL-1,46.071067,13.234579
"VIA A. ZANUSSI, 33100, UDINE, UD",00477620306,M.M. S.R.L.,UL-2,46.061206,13.239391
"VIA A. ZAPPETTI /, 33039, SEDEGLIANO, UD",00040190308,CA. METAL S.R.L.,UL-1,45.989419,12.934809
"VIA A.ANGELI, 33017, TARCENTO, UD",00620200303,CENTRO SPORT C.S.  S.R.L.,UL-1,46.2088,13.224802
"VIA A.BORTOLOSSI 1/4, 33040, PRADAMANO, UD",02901070306,STILMOTOR 2 SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-1,46.019214,13.28453
"VIA A.DE GASPERI 8, 33040, ATTIMIS, UD",02663570303,BIN M.C. SRL,UL-1,46.188768,13.306865
"VIA A.L.MORO 17, 33078, SAN VITO AL TAGLIAMENTO, PN",02392770307,CONC. MAICO - CENTRO OTOACUSTICO MARCHESIN SRL,UL-4,45.915086,12.858815
"VIA A.MALIGNANI 3, 33042, BUTTRIO, UD",00238420939,FRIULANA CALCESTRUZZI SRL,UL-3,46.0085,13.327777
"VIA A.MALIGNANI 34, 33080, FIUME VENETO, PN",01238610933,ZANELLA FORNITURE S.R.L.,UL-3,45.92544,12.70966
"VIA A.MALIGNANI 59, 33031, BASILIANO, UD",00238420939,FRIULANA CALCESTRUZZI SRL,UL-4,46.009446,13.120725
"VIA A.MANZONI 18, 33010, TAVAGNACCO, UD",01056960329,MOVENDO S.R.L.,UL-2,46.102877,13.209453
"VIA A.MANZONI 21, 33043, CIVIDALE DEL FRIULI, UD",02392770307,CONC. MAICO - CENTRO OTOACUSTICO MARCHESIN SRL,UL-19,46.09451,13.429065
"VIA A.P.CANDONI 60/A, 33028, TOLMEZZO, UD",02544770304,HIDROTECH S.R.L.,UL-1,46.391358,13.028905
"VIA ABATE GEROLDO 8, 33044, MANZANO, UD",01667250300,LE VIGNE DI ZAMO  S.R.L. -  SOCIETA  AGRICOLA,UL-5,45.988842,13.376344
"VIA ACHILLE CRISTOFOLI 12, 33058, SAN GIORGIO DI NOGARO, UD",02841690304,ARMARE S.R.L.,UL-1,45.8349,13.201602
"VIA ACQUILEIA 40/A, 33054, LIGNANO SABBIADORO, UD",01095470322,MONTICOLO&FOTI EDILIZIA S.R.L.,UL-2,45.688816,13.143186
"VIA ADA NEGRI 12, 33170, PORDENONE, PN",01890370933,D.A.C.A. S.R.L.,UL-1,45.94089,12.665948
"VIA ADAMO ZANETTI 14, 33059, FIUMICELLO VILLA VICENTINA, UD",02709820308,PUNTO DENTALE SRL,UL-1,45.813704,13.395283
"VIA ADIGE 7, 33040, POVOLETTO, UD",02591580309,2D S.R.L.,UL-2,46.118187,13.298147
"VIA ADRIANO OLIVETTI 13, 33087, PASIANO DI PORDENONE, PN",01029270939,M.C.M. S.R.L.,UL-1,45.8729,12.637356
"VIA ADRIATICA 158, 33030, CAMPOFORMIDO, UD",12960430150,HPS S.R.L.,UL-3,46.031192,13.216606
"VIA ADRIATICA 206, 33030, CAMPOFORMIDO, UD",00992660308,SARTORI S.P.A.,UL-2,46.026003,13.214597
"VIA ADRIATICA 232, 33030, CAMPOFORMIDO, UD",00609390307,GUANTI CANDOTTI SRL,UL-3,46.025227,13.214681
"VIA ADRIATICA 248, 33030, CAMPOFORMIDO, UD",02942740305,MANOFATTO SRL,UL-1,46.020164,13.162698
"VIA ADRIATICA 252/1, 33030, CAMPOFORMIDO, UD",02319800302,J.D.I. SRL,UL-1,46.025006,13.214378
"VIA ADRIATICA 26, 33030, CAMPOFORMIDO, UD",02915380303,TUTTOSERVIZI S.R.L.S.,UL-1,46.020164,13.162698
"VIA ADRIATICA 272, 33030, CAMPOFORMIDO, UD",01778000305,AUTRONICA S.R.L.,UL-2,46.023999,13.214098
"VIA ADRIATICA 276, 33030, CAMPOFORMIDO, UD",03015780301,IM.D. SOCIETA  A RESPONSABILITA  LIMITATA SEMPLIFICATA,UL-1,46.020164,13.162698
"VIA ADRIATICA 284, 33030, CAMPOFORMIDO, UD",02741940304,KRONOTECH S.R.L.,UL-1,46.023727,13.213856
"VIA ADRIATICA 292-306, 33030, CAMPOFORMIDO, UD",00970820304,DEAL SRL,UL-1,46.020164,13.162698
"VIA ADRIATICA 47, 33030, CAMPOFORMIDO, UD",02854190309,EMME EMME GI SRL,UL-1,46.020164,13.162698
"VIA ADRIATICA 50, 33054, LIGNANO SABBIADORO, UD",02438160307,MEDITERRANEA S.R.L.,UL-1,45.687062,13.138633
"VIA ADRIATICA 64, 33054, LIGNANO SABBIADORO, UD",02566690307,H.Z. S.R.L.,UL-1,45.686421,13.139756
"VIA ADRIATICA 64/66, 33054, LIGNANO SABBIADORO, UD",02459240301,ALCES S.R.L.,UL-1,45.686421,13.139756
"VIA AGOSTINO GEMELLI 8, 33170, PORDENONE, PN",01807460934,SARA SANITARIA ORTOPEDIA SRL,UL-1,45.947332,12.660088
"VIA AGRIGENTO 1, 33100, UDINE, UD",02052570302,SINE S.R.L. (SERVIZI INTEGRATI DEL NORD EST),UL-11,46.04947,13.229378
"VIA AITA 2/B, 33028, TOLMEZZO, UD",02073290302,SPACE 1999 S.R.L.,UL-3,46.392931,13.029245
"VIA AL PONTE 3, 33030, RAGOGNA, UD",02276280308,CRANENG S.R.L.,UL-1,46.184177,12.963602
"VIA AL TIGLIO 5, 33075, CORDOVADO, PN",01739820932,IMPERIAL SERVIZI S.R.L. A CAPITALE RIDOTTO,UL-1,45.841979,12.879898
"VIA ALBANA 55, 33040, PREPOTTO, UD",02808900308,RONCO MARGHERITA SOCIETA  AGRICOLA S.R.L.,UL-1,46.075258,13.514502
"VIA ALBERA 22, 33082, AZZANO DECIMO, PN",01812600938,RC COSTRUZIONI S.R.L.,UL-1,45.881321,12.71447
"VIA ALBERA 5, 33082, AZZANO DECIMO, PN",02137120305,IMPRESA VERDE FRIULI VENEZIA GIULIA S.R.L.- ZELENA DRUZBA FURLANIJA JULIJSKA KRAJINA D.O.O.,UL-2,45.885995,12.71456
"VIA ALBERA SNC, 33082, AZZANO DECIMO, PN",01672170931,BEVERELLA SOCIETA  AGRICOLA SRL,UL-1,45.886205,12.713258
"VIA ALBERTI 10/B, 34144, TRIESTE, TS",02465430300,TEKNA COSTRUZIONI S.R.L.,UL-1,45.64004,13.775083
"VIA ALBONA 59, 33100, UDINE, UD",02171030303,BRE.GIA. S.R.L.,UL-1,46.066919,13.249437
"VIA ALCIDE DE GASPERI 28, 33044, MANZANO, UD",01224080323,CAF & SERVIZI FRIULI VENEZIA GIULIA S.R.L.,UL-10,45.992155,13.391518
"VIA ALCIDE DE GASPERI 5, 33050, GONARS, UD",01569390303,VANPEL S.R.L.,UL-1,45.896814,13.235609
"VIA ALCIDE DE GASPERI 9/11, 33050, GONARS, UD",01131510313,ACCONCIATURE & ESTETICA S.R.L.,UL-2,45.896999,13.235502
"VIA ALDO TAVIAN 11, 33050, GONARS, UD",01787930302,DRI ELIO E FIGLI S.R.L.,UL-1,45.89466,13.247725
"VIA ALESSANDRO LA MARMORA 18, 34139, TRIESTE, TS",01178840326,CRISALB GROUP S.R.L.,UL-1,45.640767,13.795839
"VIA ALESSANDRO MANZONI 12, 34073, GRADO, GO",00435470307,C.D.A. DI CATTELAN SRL,UL-1,45.678405,13.387332
"VIA ALESSANDRO MANZONI 19, 33043, CIVIDALE DEL FRIULI, UD",02992920302,GRUPPO FRIULI ASSICURAZIONI SRL,UL-5,46.094492,13.429148
"VIA ALESSANDRO MANZONI 31, 33043, CIVIDALE DEL FRIULI, UD",02427830308,SISTEMA VERDE S.R.L. - ZELENI SISTEM D.O.J.,UL-1,46.094387,13.428696
"VIA ALESSANDRO MANZONI 31/I/1, 33043, CIVIDALE DEL FRIULI, UD",00740610324,SERVIS D.O.O. - S.R.L.,UL-1,46.071654,13.431989
"VIA ALESSANDRO VOLTA - ZIAC NC, 33058, SAN GIORGIO DI NOGARO, UD",94015790309,NET - S.P.A.,UL-2,45.78159,13.237144
"VIA ALESSANDRO VOLTA 1, 33059, FIUMICELLO VILLA VICENTINA, UD",00687080309,DISTRIBUZIONE ASSOCIATA S.R.L.,UL-3,45.813704,13.395283
"VIA ALESSANDRO VOLTA 11, 33058, SAN GIORGIO DI NOGARO, UD",02601751205,BIOMAN S.P.A.,UL-1,45.832602,13.207705
"VIA ALESSANDRO VOLTA 22, 33031, BASILIANO, UD",00226250306,ROSSI F.LLI S.R.L.,UL-2,46.014776,13.107636
"VIA ALESSANDRO VOLTA 9, 34071, CORMONS, GO",00412260937,CENTRO SERVIZI DOGANALI - S.P.A.,UL-1,45.957987,13.464282
"VIA ALFIERI 19/1, 34141, TRIESTE, TS",01083690329,ZUANELLI SERRAMENTI S.R.L.,UL-1,45.647232,13.788987
"VIA ALFIERI 3, 33010, TAVAGNACCO, UD",05800480963,FRIULI RETAIL S.R.L.,UL-1,46.115467,13.223165
"VIA ALFONSO VALERIO 148, 34128, TRIESTE, TS",01258750320,TERMOIDRAULICA LANZA SRLS,UL-3,45.660841,13.808495
"VIA ALFREDO ORIANI 8, 34131, TRIESTE, TS",00875640328,VALE S.R.L.,UL-6,45.6467,13.78017
"VIA ALIGHIERI 33, 34015, MUGGIA, TS",01281920320,PANE E PIZZA S.R.L.S.,UL-1,45.603908,13.767383
"VIA ALLA CHIESA 9/A, 33015, MOGGIO UDINESE, UD",01369030935,CREDIT AGRICOLE FRIULADRIA - SOCIETA  PER AZIONI,UL-37,46.410643,13.195633
"VIA ALLA NAZIONALE, 33010, CASSACCO, UD",00956860308,NUOVA FRIULANA PAVIMENTI S.R.L.,UL-1,46.174468,13.184169
"VIA ALLA STESA 51, 34170, GORIZIA, GO",02767960301,IMMOBILIARE DUEDI S.R.L.,UL-1,45.915873,13.604769
"VIA ALPE ADRIA 16, 33010, TAVAGNACCO, UD",01286840325,CATT FVG S.R.L. - CENTRO DI ASSISTENZA TECNICA ALLE IMPRESE DEL TERZIARIO S.R.L.,UL-1,46.110763999999996,13.213787000000002
"VIA ALPE ADRIA 6, 33010, TAVAGNACCO, UD",01452770306,HYPO ALPE-ADRIA-BANK S.P.A.,UL-15,46.112285,13.214401
"VIA ALPE ADRIA 65, 33049, SAN PIETRO AL NATISONE, UD",01369030935,CREDIT AGRICOLE FRIULADRIA - SOCIETA  PER AZIONI,UL-48,46.127032,13.485004
"VIA ALPI 23, 33098, VALVASONE ARZENE, PN",01863910939,RETIAX SRL,UL-1,46.002671,12.845707
"VIA ALPI GIULIE 2, 33010, MALBORGHETTO VALBRUNA, UD",02582960304,MT IMPORTS S.R.L.,UL-1,46.490713,13.49164
"VIA ALPI GIULIE 2, 34149, TRIESTE, TS",01155600321,ICEMANIA S.R.L.,UL-2,45.627021,13.818475
"VIA ALPI GIULIE 38, 33010, MALBORGHETTO VALBRUNA, UD",02244090300,ALPE SERVICE  S.R.L.,UL-3,46.488628,13.490618
"VIA ALPI GIULIE 81, 33018, TARVISIO, UD",01058530328,CONFARTIGIANATO SERVIZI FRIULI VENEZIA GIULIA S.R.L.,UL-13,46.506901,13.558489
"VIA ALPI GIULIE, 33018, TARVISIO, UD",00500670310,ARRIVA UDINE S.P.A.,UL-9,46.506978,13.54831
"VIA ALTAN 37/1, 33078, SAN VITO AL TAGLIAMENTO, PN",01833080938,EXPERTA AUDIT S.R.L.,UL-1,45.913873,12.85732
"VIA ALTAN 41/1, 33078, SAN VITO AL TAGLIAMENTO, PN",01502130931,C.F. SRL,UL-1,45.913772,12.857271
"VIA ALTAN 42, 33078, SAN VITO AL TAGLIAMENTO, PN",01851320935,PORTA ANTICA SRLS,UL-1,45.913596,12.856999
"VIA ALTAN 46, 33078, SAN VITO AL TAGLIAMENTO, PN",01744460930,TRESSS S.R.L.,UL-1,45.913512,12.856986
"VIA ALTAN 48/50, 33078, SAN VITO AL TAGLIAMENTO, PN",01224080323,CAF & SERVIZI FRIULI VENEZIA GIULIA S.R.L.,UL-11,45.91346,12.857052
